12,Consumables,,,,,UNIT,CODE,,,
,,,,024,Catridge for HP 4630 - BLACK & TRI COLOR COMBO,Pcs,12003003024,,,
,,,,025,Catridge for HP 5075- BLACK,Pcs,12003003025,,,
,,,,026,Catridge for HP 5075 TRI Color,Pcs,12003003026,,,
,,,,027,Ribbon catridge- ZC 100,Pcs,12003003027,,,
,,,,,,,,,,
,,004,Filing,001,Box file white color,Box,12004001001,,,
,,,,002,Box file black color ,Box,12004002002,,,
,,,,003,Hanging file green color,Pcs,12004003003,,,
,,,,004,File separator,Pcs,12004004004,,,
,,,,005,Sheet protector,Pcs,12004005005,,,
,,,,006,File fastner,Pcs,12004006006,,,
,,,,007,Page index sticker,Pcs,12004007007,,,
,,,,,,,,,,
,,005,Storage ,001,Cartoon box ,Pcs,12005003001,,,
,,,,002,Carton for packaging,Pcs,12005003002,,,
,,,,003,Tape for packaging,Pcs,12005003003,,,
,,,,,,,,,,
,,006,Misc,001,Rubber band,Pcs,12006003001,,,
,,,,002,Sticky note pad (multicolor),Pcs,12006003002,,,
,,,,003,Clipboard plastic A4 size,Pcs,12006003003,,,
,,,,004,Binder clip,Pcs,12006003004,,,
,,,,005,Paper clips-Metal,Pcs,12006003005,,,
,,,,006,Stapler pins,Pcs,12006003006,,,
,,,,007,Bulletin board pin,Pcs,12006003007,,,
,,,,008,Hole puncher,Pcs,12006003008,,,
,,,,009,Note book-A4 size,Pcs,12006003009,,,
,,,,010,Card holder- Vertical plastic,Pcs,12006003010,,,
,,,,011,Ruler,Pcs,12006003011,,,
,,,,012,Cable tie- Plastic small,Pcs,12006003012,,,
,,,,013,Double sided tape,Pcs,12006003013,,,
,,,,014,Signature file,Pcs,12006003014,,,
,,,,015,Stapler,Pcs,12006003015,,,
,,,,016,Sign here sticker,Pcs,12006003016,,,
,,,,017,Scissor-Medium,Pcs,12006003017,,,
,,,,018,Eraser-Big,Pcs,12006003018,,,
,,,,019,Calculator -Big,Pcs,12006003019,,,
,,,,020,Glue stic,Pcs,12006003020,,,
,,,,021,Visiting card holder,Pcs,12006003021,,,
,,,,022,Battery-AA,Pcs,12006003022,,,
,,,,023,Note book-A5 size,Pcs,12006003023,,,
,,,,024,Ink for stamp,Pcs,12006003024,,,
,,,,025,Casio Ez label printer tape 9mm,Pcs,12006003025,,,
,,,,0026,Stapler pin remover,Pcs,12006003026,,,
,,,,0027,Sketch pen-12 color,Pcs,12006003027,,,
,,,,0028,"Packing tape 2""clear",Pcs,12006003028,,,
,,,,"""0029",Packing tape dispenser holder,Pcs,12006003029,,,
,,,,0030,Post it sticker strips multicolor,Pcs,12006003030,,,
,,,,0031,Sharpener,Pcs,12006003031,,,
,,,,0032,Paper cutter ,Pcs,12006003032,,,
,,,,033,Binder-3ring,Pcs,12006003033,,,
,,,,"""034",Binder-2ring,Pcs,12006003034,,,
,,,,035,White board with stand,Pcs,12006003035,,,
,,,,036,Tab separator,Pcs,12006003036,,,
,,,,037,Inkpad,Pcs,12006003037,,,
,,,,038,Sponge damper pad,Pcs,12006003038,,,
,,,,039,Scotch tape,Pcs,12006003039,,,
,,,,040,Paper tray metal - 3 layer,Pcs,12006003040,,,
,,,,041,Win 10 license,Pcs,12006003041,,,
,,,,042,Duct tape,Pcs,12006003042,,,
,,,,043,Plastic sheets,Pcs,12006003043,,,
,,,,044,Nylon sheets,Pcs,12006003044,,,
,,,,045,spiral binding -8MM black,Pcs,12006003045,,,
,,,,046,spiral binding -12MM black,Pcs,12006003046,,,
,,,,047,spiral binding -10MM black,Pcs,12006003047,,,
,,,,048,CD R Imation 10s,Pcs,12006003048,,,
,,,,049,Plastic white color 5*8,Pcs,12006003049,,,
,,,,050,Slip proof thicken,Pcs,12006003050,,,
,,,,051,Tab index multicolor,Pcs,12006003051,,,
,,,,052,Measuring tape-10mtr,Pcs,12006003052,,,
,,,,053,Battery-Big,Pcs,12006003053,,,
,,,,054,Cello tape- Transparent big,Pcs,12006003054,,,
,,,,055,Trash bin medium-Metal,Pcs,12006003055,,,
,,,,056,Mouse pad,Pcs,12006003056,,,
,,,,057,Paper punch heavy duty,Pcs,12006003057,,,
,,,,058,File carry bag,Pcs,12006003058,,,
,,,,059,File clip plastic- Green file,Pcs,12006003059,,,
,,,,060,Insulation tape,Pcs,12006003060,,,
,,,,061,Ribbon ZC 100/ZC 300,Pcs,12006003061,,,
,,,,062,PVC blank cards,Pcs,12006003062,,,
,,,,063,Bravo card presso,Pcs,12006003063,,,
,,,,064,Cylicone,Pcs,12006003064,,,
,,,,,,,,,,
004,Disposables,001,Paper,001,"Toilet Tissue Mini Jumbo Roll, 2Ply, 150Mtr",Box,12004001001,,T4,
,,,,002,Toilet roll -Big core 350mtr,Box,12004001002,,Head office,
,,,,003,Tissue box-2ply 150 sheets,Box,12004001003,,Head office,
,,,,004,"V-Fold / InterFold Paper Towel, 2 Ply,",Box,12004001004,,Arab,
,,,,005,Vinyl Gloves - Lightly Powdered ,Box,12004001005,,T4,
,,,,006,Face mask surgical 3ply,Box,12004001006,,T4,
,,,,007,Mouse glue traps,Pcs,12004001007,,,
,,,,008,Reflector tape,Pcs,12004001008,,,
,,,,009,"V-Fold / InterFold Paper Towel, 2 Ply,",Pcs,12004001009,,Asnaf,
,,,,010,Face mask -3M,Pcs,12004001010,,k4,
,,,,011,Face mask -paper,Pcs,12004001011,,National,
,,,,012,Face mask -surgical,Pcs,12004001012,,local,
,,,,012,Face mask -Paper,Pcs,12004001013,,Safety,
,,,,,,,,,,
,,002,Plastic,001,Plastic cup - Tea,Pack,12004002001,,,
,,,,002,Plastic cup - coffee,Pack,12004002002,,,
,,,,003,Plastic spoon,Pack,12004002003,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,003,Misc,001,Nylon gloves,Pack,12004003001,,,
,,,,002,Nitrile gloves,Pack,12004003002,,,
,,,,003,Shoe cover,Pack,12004003003,,,
,,,,,,,,,,
005,Fuel,001,Petrol,001,,Lumps.,12005001001,,,
,,,,,,,,,7005430001000614846,5.100
,,,,,,,,,7005430001000614847,23.980
,,,,,,,,,7005430001000614852,99.480
,,,,,,,,,7005430001000614851,49.415
,,,,,,,,,7005430001000614848,45.850
,,,,,,,,,7005430001000614850,46.210
,,,,,,,,,7005430001000614849,56.210
006,Tools,001,Cleaning,001,Window Squeeze - ST/ST - 35cm Packaging - 1 each,Each,12006001001,,,
,,,,002,Window Washer - ST/ST - 35cm Packaging - 1 each,Each,12006001002,,,
,,,,003,Floor Sign Board - “Wet Floor” Packaging - 1 each,Each,12006001003,,,
,,,,004,"Empty Spray Bottle with Trigger, 750ml Capacity, Red Packaging - 1 each",Each,12006001004,,,
,,,,005,"Empty Spray Bottle with Trigger, 750ml Capacity, Green Packaging - 1 each",Each,12006001005,,,
,,,,006,"Micro Fiber Cloth, Color: Green ",Each,12006001006,,,
,,,,007,"Micro Fiber Cloth, Color: Blue ",Each,12006001007,,,
,,,,008,"Micro Fiber Cloth, Color: Yellow ",Each,12006001008,,,
,,,,009,"Micro Fiber Cloth, Color: Red ",Each,12006001009,,,
,,,,010,Microfiber Mop Complete Set - 40 cm Packaging - Blue,Each,12006001010,,,
,,,,011,"Microfiber Cover for ONE SYSTEM - 40 Cm, RED ",Each,12006001011,,,
,,,,012,"Microfiber Cover for ONE SYSTEM - 40 Cm, BLUE Packaging - 1 Each",Each,12006001012,,,
,,,,013,Sponge with scourer - Small Packaging - 1 x 12,Each,12006001013,,,
,,,,014,"Scrubbing Pad - Americo Brand, Black - 20” Packaging - 1 Each",Each,12006001014,,,
,,,,015,"Scrubbing Pad - Americo Brand, Black - 17” Packaging - 1 Each",Each,12006001015,,,
,,,,016,"Rubber Hand Gloves - Blue, Medium Packaging - 1 Pair",Each,12006001016,,,
,,,,017,Rubber Squeeze w/ wooden handle - 35 cm Packaging - 1 Each,Each,12006001017,,,
,,,,018,Rubber Squeeze w/ wooden handle - 45 cm Packaging - 1 Each,Each,12006001018,,,
,,,,019,Leaves Picker - 83 cm Packaging - 1 Each,Each,12006001019,,,
,,,,020,Goods Trolly - 400Kg Capacity Packaging - 1 Each,Each,12006001020,,,
,,,,021,Garbage Collection Trolly with Cover Packaging - 1 Each,Each,12006001021,,,
,,,,022,Dust control complete-60cms acrylic,Each,12006001022,,,
,,,,023,Double bucket trolley,Each,12006001023,,,
,,,,024,Nepthalene block 100grm with hanger,Each,12006001024,,,
,,,,025,Alcohol pad,Box,12006001025,,,
,,,,026,Scrubbing Brush Jet,Each,12006001026,,,
,,,,027,Mop head,Each,12006001027,,,
,,,,028,Magic duster,Each,12006001028,,,
,,,,029,"Scrubbing Pad - Americo Brand, Red - 17” Packaging",Each,12006001029,,,
,,,,030,"Scrubbing Pad - Americo Brand, White - 17” Packaging",Each,12006001030,,,
,,,,031,Dust control complete-80cms acrylic,Each,12006001031,,,
,,,,032,Dust control cover-60cm Acrylic,Each,12006001032,,,
,,,,033,Dust control cover-80cm Acrylic,Each,12006001033,,,
,,,,034,Dust pan plastic with cover +long handle brush,Each,12006001034,,,
,,,,035,Window Washer - ST/ST - 45cm Packaging ,Each,12006001035,,,
,,,,036,Telescopic poles-4.5 Mtr,Each,12006001036,,,
,,,,037,Telescopic poles-9 Mtr,Each,12006001037,,,
,,,,038,Wringer,Each,12006001038,,,
,,,,039,Replacement rubber 92cm for window squeeze,Each,12006001039,,,
,,,,040,Ladder-6 steps-Aluminium,Each,12006001040,,,
,,,,041,Soft brush with handle-30cms,Each,12006001041,,,
,,,,042,Dust pan plastic with hand brush (green),Each,12006001042,,,
,,,,043,Cotton hand gloves,Each,12006001043,,,
,,,,044,"Rubber Hand Gloves - Blue, Large Packaging - 1 Pair",Each,12006001044,,,
,,,,045,"Scrubbing Pad - Americo Brand, Black - 13” Packaging",Each,12006001045,,,
,,,,046,Plunger with wooden handle,Each,12006001046,,,
,,,,047,Wooden handle for soft brush,Each,12006001047,,,
,,,,048,Storage box clean with lid,Each,12006001048,,,
,,,,049,Dispencer towel c-fold transparent black,Each,12006001049,,,
,,,,050,Scouring pad big H/D green,Each,12006001050,,,
,,,,051,"Scrapper 3""",Each,12006001051,,,
,,,,052,Window Washer - 35cm complete set,Each,12006001052,,,
,,,,053,Garbage bin plastic net,Each,12006001053,,,
,,,,054,Mop holder,Each,12006001054,,,
,,,,055,Rubber Squeeze w/ wooden handle - 55 cm Packaging,Each,12006001055,,,
,,,,056,"Scrubbing Pad - Americo Brand, White- 20” ",Each,12006001056,,,
,,,,057,Plastic drum with cover-150ltr,Each,12006001057,,,
,,,,058,Sponge mop,Each,12006001058,,,
,,,,059,Magic foam,Each,12006001059,,,
,,,,060,Rubber hand gloves hd black large,Each,12006001060,,,
,,,,061,Steel ring,Each,12006001061,,,
,,,,062,Mop head with plastic clip+ aluminium handle,Each,12006001062,,,
,,,,063,Dustbin-100ltr,Each,12006001063,,,
,,,,064,Microfiber Mop Complete Set - 40 cm Packaging - Red,Each,12006001064,,,
,,,,065,Needle,Each,12006001065,,,
,,,,066,Thread,Each,12006001066,,,
,,,,067,Zipps,Each,12006001067,,,
,,,,068,Silicone,Each,12006001068,,,
,,,,069,Empty Spray Bottle with Trigger 500ml -Red ,Each,12006001069,,,
,,,,070,Soap dispencer bottle,Each,12006001070,,,
,,,,071,Ladder-8 steps-Aluminium,Each,12006001071,,,
,,,,,,,,,,
007,Flower,001,Flower,001,Indoor flower,Each,12007001001,,,
,,,,,,,,,,
008,Miscellaneous,001,Miscellaneous,001,General items,Each,12008001001,,,
