017,Cargo pant ,001,X-Small,0001,,Pcs,11017001001,,1FM
,(men),002,Small,0002,,Pcs,11017002002,,1FM
,,003,Medium,0003,,Pcs,11007003003,,1FM
,,004,Large,0004,,Pcs,11007004004,,1FM
,,005,XL,0005,,Pcs,11007005005,,1FM
,,006,XXL,0006,,Pcs,11007006006,,
,,007,XXXL,0007,,Pcs,11007007007,,
,,008,Customized,0008,,Pcs,11007008008,,
,,,,,,,,,
018,Shoes  ,001,36,0001,,Pcs,11018001001,,T4-Janitorial
,,002,37,0002,,Pcs,11018002002,,T4-Janitorial
,(men),003,38,0003,,Pcs,11018003003,,T4-Janitorial
,,004,39,0004,,Pcs,11018004004,,T4-Janitorial
,,005,40,0005,,Pcs,11018005005,,T4-Janitorial
,,006,41,0006,,Pcs,11018006006,,T4-Janitorial
,,007,42,0007,,Pcs,11018007007,,T4-Janitorial
,,008,43,0008,,Pcs,11018008008,,T4-Janitorial
,,009,44,0009,,Pcs,11018009009,,T4-Janitorial
,,010,45,0010,,Pcs,11018010010,,T4-Janitorial
,,011,46,0011,,Pcs,11018011011,,T4-Janitorial
,,012,47,0012,,Pcs,11018012012,,T4-Janitorial
,,,,,,,,,
019,Shoes ,001,35,0001,,Pcs,11019001001,,T4-Janitorial
,(Woman),002,36,0002,,Pcs,11019002002,,T4-Janitorial
,,003,37,0003,,Pcs,11019003003,,T4-Janitorial
,,004,38,0004,,Pcs,11019004004,,T4-Janitorial
,,005,39,0005,,Pcs,11019005005,,T4-Janitorial
,,006,40,0006,,Pcs,11019006006,,T4-Janitorial
,,007,41,0007,,Pcs,11019007007,,T4-Janitorial
,,,,,,,,,
020,Shirt Short sleve,001,X-Small,0001,,Pcs,11020001001,,
,(men),002,Small,0002,,Pcs,11020002002,,
,,003,Medium,0003,,Pcs,11020003003,,
,,004,Large,0004,,Pcs,11020004004,,
,,005,XL,0005,,Pcs,11020005005,,
,,006,XXL,0006,,Pcs,11020006006,,
,,007,XXXL,0007,,Pcs,11020007007,,
,,008,Customized,0008,,Pcs,11020008008,,
,,,,,,,,,
021,Shirt Short sleeve,001,X-Small,0001,,Pcs,11021001001,,
,(Woman),002,Small,0002,,Pcs,11021002002,,
,,003,Medium,0003,,Pcs,11021003003,,
,,004,Large,0004,,Pcs,11021004004,,
,,005,XL,0005,,Pcs,11021005005,,
,,006,XXL,0006,,Pcs,11021006006,,
,,007,XXXL,0007,,Pcs,11021007007,,
,,008,Customized,0008,,Pcs,11021008008,,
,,,,,,,,,
022,Tie,001,One size,0001,,Pcs,11022001001,,1FM
,,,,,,,,,
023,Apaulette,001,One size,0001,,Pcs,11023001001,,1FM
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
024,Pullover,001,X-Small,0001,,Pcs,11024001001,,T4 & ONEFM
,,002,Small-36,0002,,Pcs,11024002002,,T4 & ONEFM
,,003,Medium-38,0003,,Pcs,11024003003,,T4 & ONEFM
,,004,Large -40,0004,,Pcs,11024004004,,T4 & ONEFM
,,005,XL-42,0005,,Pcs,11024005005,,T4 & ONEFM
,,006,XXL-44,0006,,Pcs,11024006006,,T4 & ONEFM
,,007,XXXL,0007,,Pcs,11024007007,,T4 & ONEFM
,,008,Customized,0008,,Pcs,11024008008,,T4 & ONEFM
,,,,,,,,,
025,Shirt-Engie,001,X-Small,0001,,Pcs,11025001001,,Ruby
,,002,Small,0002,,Pcs,11025002002,,Ruby
,,003,Medium,0003,,Pcs,11025003003,,Ruby
,,004,Large,0004,,Pcs,11025004004,,Ruby
,,005,XL,0005,,Pcs,11025005005,,Ruby
,,006,XXL,0006,,Pcs,11025006006,,Ruby
,,007,XXXL,0007,,Pcs,11025007007,,Ruby
,,,,,,,,,
026,T-shirt  Long sleve ,001,Shirt Small - Security,0001,,Pcs,11026001001,,Grandraya new design
,(men),002,Shirt Medium - Security,0002,,Pcs,11026002002,,Grandraya new design
